,result
0,i ' m not sure if i ' m ready for that .
1,i ' m sure they did .
2,i ' m not sure what the problem is .
3,i ' m so excited for this game !
4,i think they deserved it .
5,i ' m not sure i ' m ready to be a part of this .
6,i ' m so happy for you ! ! !
7,4 . i ' m not sure i ' m ready to watch it .
8,i do too . i ' m not sure why .
9,i ' m so glad you like it !
10,nunca vi nada de cachecol . . .
11,i ' m sure he ' s not going to be assassinated .
12,she is a great role model .
13,i would talk your mom into swallowing instead .
14,i ' m not sure if it ' s a good tweet or not .
15,i ' m not sure if i ' m the only one who feels this way .
16,i ' m sure she ' s a good person .
17,i ' m not saying you should care about her crimes . i ' m saying you should care about the fact that she ' s a criminal .
18,i ' m not saying they ' re good . i ' m saying they ' re not as good as the jazz .
19,i ' m so excited for this !
20,i ' m not sure i ' m the only one who thinks that .
21,i ' m not sure . i ' m not sure if it ' s safe .
22,i ' m gonna finish my essay and then go to the gym
23,the fbi is not rigged . they are just not doing their job .
24,i ' m so excited ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
25,i ' m sure it was . i ' m sure it was .
26,you ' re welcome !
27,"i ' m not sure what you mean by "" stand up to the russians "" ."
28,thanks for watching !
29,i ' m watching it now . it ' s good .
30,thanks ! i ' m glad you liked it .
31,i ' m sure the pentagon is doing a great job of preparing for this .
32,i ' m not saying tear down the system . i ' m saying that the system is broken .
33,i ' m pretty sure chris wallace got the remaining 6 % .
34,that is so sad . i am so sorry .
35,i ' m not contempt for her . i ' m contempt for the people who voted for her .
36,i ' m not sure if you ' re being sarcastic or not .
37,"i ' m not skinny , i ' m just not as fat as you ."
38,he ' s lying on every issue .
39,i ' m praying for you too .
40,i love you too ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
41,she ' s a liar and a liar .
42,i agree . i have been in a lot of situations where i was scared and i was just so angry .
43,i ' m so excited for you ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
44,i ' m not sure what you mean .
45,you are a disgrace to america .
46,"i ' m sorry , i ' m not sure what you mean ."
47,i ' m not sure what you ' re talking about .
48,i agree . i think it ' s a good thing that we have the ability to be ourselves .
49,i ' m not sure what you mean .
50,she ' s a liar and a liar .
51,she ' s a liar and a liar .
52,"i ' m not sure what you mean by "" resurrection "" ."
53,i ' m not sure . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
54,i ' m not sure that ' s the case .
55,i ' m not sure what you mean .
56,i ' m so proud of you
57,i agree . i think they are going to lose .
58,i ' m so excited for this !
59,i ' m not sure what you ' re talking about .
60,i ' m sure it will be a lot of fun . i ' m sure it will be a lot of fun .
61,i ' m sure they ' ll be able to make a lot of toads .
62,i ' m in sc too ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
63,i ' m not blaming india . i ' m blaming the people who are being harassed by the police .
