tweet,words_num,lex_div,emojis_num,demoji_text,slangs_num,deslang_text,total_slangs_emojis,deslang_demoji,response,tweet_no_unicode,safety,tweeter,emph,result,jhu,response_ld,jhu_ld,result_ld,tweeter_ld,emph_ld,response_word_num,jhu_word_num,result_word_num,tweeter_word_num,emph_word_num
when you find so you decide to stay in her class 😂😉,11,0.9166666666666666,2,when you find so you decide to stay in her class  face with tears of joy  winking face ,0,when you find so you decide to stay in her class 😂😉,2,when you find so you decide to stay in her class ,  too bad you don't actually go to my school you liar  ,when you find so you decide to stay in her class ,1,i ' m so sorry,i ' m not sure if i ' m ready for that .,i ' m not sure if i ' m ready for that .,  i hope so . i want to go to her class soon,0.8461538461538461,0.8333333333333334,0.8181818181818182,1.0,0.8181818181818182,12,11,10,4,10
not a single reporter noticed that hillary's entire staff was on death's door and a doctor was following her around?,22,0.9,0,not a single reporter noticed that hillary is entire staff was on death is door and a doctor was following her around?,0,not a single reporter noticed that hillary is entire staff was on death is door and a doctor was following her around,0,not a single reporter noticed that hillary's entire staff was on death's door and a doctor was following her around?,"  and she had her blue , double vision glasses on! ",not a single reporter noticed that hillary's entire staff was on death's door and a doctor was following her around?,0,i ' m sure they did .,i think they were just looking for a reason to get in .,i ' m sure they did .,  no i wish i could,0.9090909090909091,0.8333333333333334,1.0,1.0,1.0,9,5,5,5,12
jim schwartz has faced 2 teams as defensive coordinator. both starting qb's have left the game injured.,18,0.9411764705882352,0,jim schwartz has faced 2 teams as defensive coordinator. both starting qb is have left the game injured.,0,jim schwartz has faced 2 teams as defensive coordinator both starting qb is have left the game injured,0,jim schwartz has faced 2 teams as defensive coordinator. both starting qb's have left the game injured.,  well not really. jay cutler just quit on his team ,jim schwartz has faced 2 teams as defensive coordinator. both starting qb's have left the game injured.,0,i ' m not sure what the problem is .,"i ' m not sure if i ' d say that . i think he ' s a good defensive coordinator , but i don ' t think he ' s a great defensive coordinator .",i ' m not sure what the problem is .,  i am sorry to hear that . i hope you are better,0.9166666666666666,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.6896551724137931,10,11,8,8,28
go gettum jared!,3,1.0,0,go gettum jared!,0,go gettum jared,0,go gettum jared!,"  yeah jared, get them with your cool hat. ",go gettum jared!,0,i ' m so excited for this game !,what is that ?,i ' m so excited for this game !,  i am not sure if i was a kid .,0.9,0.7272727272727273,1.0,1.0,1.0,8,9,7,7,3
arsenal didn't deserve to win either so?,8,1.0,0,arsenal did not deserve to win either so?,0,arsenal did not deserve to win either so,0,arsenal didn't deserve to win either so?,  us and 1 point gained for tottenham thats what it came down too. ,arsenal didn't deserve to win either so?,1,i ' m not saying they didn ' t deserve to win . i ' m saying they didn ' t deserve to win .,i think they deserved it .,i think they deserved it .,  i think it is a good thing to do .,0.9333333333333333,0.9090909090909091,1.0,0.55,1.0,13,9,5,19,5
"if you sit this election out and trump wins by a few votes, many people are going to be dealing with that reality for their entire lives.",27,0.9629629629629628,0,"if you sit this election out and trump wins by a few votes, many people are going to be dealing with that reality for their entire lives.",0,if you sit this election out and trump wins by a few votes many people are going to be dealing with that reality for their entire lives,0,"if you sit this election out and trump wins by a few votes, many people are going to be dealing with that reality for their entire lives.",  why would i listen to a sell out? i'd rather stay home than vote for someone not worthy of my vote including ,"if you sit this election out and trump wins by a few votes, many people are going to be dealing with that reality for their entire lives.",0,i ' m not sure i ' m ready to be a part of this .,"i know , i ' m not a trump supporter , but i ' m not a hillary fan either .",i ' m not sure i ' m ready to be a part of this .,  i think i will be there if you were in the world,0.9166666666666666,0.8461538461538461,0.7857142857142857,0.7857142857142857,0.7058823529411765,23,12,13,13,16
"dinner cookie. the very second cyndi met david. , this pic means the world to me. you're the best.",19,0.8888888888888888,0,"dinner cookie. the very second cyndi met david. , this pic means the world to me. you are the best.",1,dinner cookie the very second cyndi met david this picture means the world to me you are the best,1,"dinner cookie. the very second cyndi met david. , this pic means the world to me. you're the best.",  awwww its a treasure right! ,"dinner cookie. the very second cyndi met david. , this pic means the world to me. you're the best.",0,i ' m so happy for you ! ! !,"aw , thank you ! i ' m glad you like it .",i ' m so happy for you ! ! !,  i think i will be there if you were in the world .,0.8571428571428571,0.7857142857142857,1.0,1.0,0.9,5,12,6,6,9
"3. yes, the romance is a total failure.",8,1.0,0,"3. yes, the romance is a total failure.",0,3 yes the romance is a total failure,0,"3. yes, the romance is a total failure.","  aotc is at least *trying* to do difficult things, w/anakin &amp; w/politics. failing, sure! but trying! ","3. yes, the romance is a total failure.",0,4 . i ' m not sure i ' m ready to watch it .,i ' m sorry to hear that . what happened ?,4 . i ' m not sure i ' m ready to watch it .,  i am sorry to hear that . i am sure you are a good person .,0.9444444444444444,0.75,0.8333333333333334,0.8333333333333334,1.0,18,14,11,11,8
"if i wanted to spend my time arguing, i'd call my mother. i come to twitter to laugh and send out random twat shots. you know, to have fun.",30,0.8275862068965517,0,"if i wanted to spend my time arguing, i would call my mother. i come to twitter to laugh and send out random twat shots. you know, to have fun.",1,if i wanted to spend my time arguing i would call my mother i come to twitter to laugh and send out random vagina shots you know to have fun,1,"if i wanted to spend my time arguing, i'd call my mother. i come to twitter to laugh and send out random twat shots. you know, to have fun.","  you are now ""twitterati"". hows it feel? ","if i wanted to spend my time arguing, i'd call my mother. i come to twitter to laugh and send out random twat shots. you know, to have fun.",1,i ' m not sure if you ' re being sarcastic or not .,i do too . i ' m not sure why .,i do too . i ' m not sure why .,  i will be there if you were in the world .,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.9166666666666666,0.8888888888888888,7,10,8,11,8
reading now. this is absolutely fantastic.,6,1.0,0,reading now. this is absolutely fantastic.,0,reading now this is absolutely fantastic,0,reading now. this is absolutely fantastic.,"  i haven't even looked at it yet, but it seemed like something that would interest you, good or bad. best wishes! ",reading now. this is absolutely fantastic.,0,i ' m so glad you like it !,what is it about ?,i ' m so glad you like it !,  i agree . i am going to be a doctor .,0.9130434782608695,0.7272727272727273,1.0,1.0,1.0,22,9,7,7,4
gente acabei de ver o cachecol 😂😂 nós somos fodas! wendigo all over again,13,1.0,1,gente acabei de ver o cachecol  face with tears of joy  face with tears of joy  nós somos fodas! wendigo all over again,1,gente acabei de ver Oh cachecol 😂😂 nós somos fodas wendigo all over again,2,gente acabei de ver o cachecol  ns somos fodas! wendigo all over again,  aeeeeeee ,gente acabei de ver o cachecol  ns somos fodas! wendigo all over again,0,nunca vi nada de cachecol . . .,o cachecol é um bom cachecol .,nunca vi nada de cachecol . . .,  i am not sure if i was a kid .,0.6666666666666666,0.7272727272727273,1.0,1.0,0.8571428571428571,1,9,5,5,6
classic to try and spin an innocent protest into making it seem like he was going to be assassinated.,19,0.8947368421052632,0,classic to try and spin an innocent protest into making it seem like he was going to be assassinated.,0,classic to try and spin an innocent protest into making it seem like he was going to be assassinated,0,classic to try and spin an innocent protest into making it seem like he was going to be assassinated.,  this shows if he's elected he's definitely going to over exaggerate and turn things into what they aren't causing more trouble. ,classic to try and spin an innocent protest into making it seem like he was going to be assassinated.,0,i ' m sure he ' s not going to be assassinated .,i don ' t think he was innocent .,i ' m sure he ' s not going to be assassinated .,  i am not sure if i was a kid .,0.9130434782608695,0.7272727272727273,0.9090909090909091,0.9090909090909091,1.0,24,9,10,10,7
‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton,15,0.9285714285714286,0,‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton,0,‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton,0,shes a great role model sturgeon breaks protocol to urge americans to back clinton,  what a pillock sturgeon is! ,shes a great role model sturgeon breaks protocol to urge americans to back clinton,1,she ' s a great role model for the american people .,she is a great role model .,she is a great role model .,  that is a good thing to do .,0.8571428571428571,0.8888888888888888,1.0,1.0,1.0,5,7,6,10,6
i would talk your mom into swallowing instead.,8,1.0,0,i would talk your mom into swallowing instead.,0,i would talk your mom into swallowing instead,0,i would talk your mom into swallowing instead.,  harsh!!! lol ,i would talk your mom into swallowing instead.,1,i ' m not sure swallow is a thing .,i would talk your mom into swallowing instead .,i would talk your mom into swallowing instead .,  i think i am not a big fan of it .,0.75,0.8333333333333334,1.0,0.8888888888888888,1.0,2,10,8,8,8
i just saw this. this is a good tweet.,9,0.8888888888888888,0,i just saw this. this is a good tweet.,0,i just saw this this is a good tweet,0,i just saw this. this is a good tweet.,  good-content.jpg ,i just saw this. this is a good tweet.,0,i ' m not sure if it ' s a good tweet or not .,i ' m glad you like it .,i ' m not sure if it ' s a good tweet or not .,  i am sure you are . i am not sure if i was a kid .,0.6666666666666666,0.5625,0.9230769230769231,0.9230769230769231,1.0,3,14,12,12,6
