,tweet,words_num,lex_div,emojis_num,demoji_text,slangs_num,deslang_text,total_slangs_emojis
0,when you find so you decide to stay in her class 😂😉,11,0.9166666666666666,2,when you find so you decide to stay in her class  face with tears of joy  winking face ,0,when you find so you decide to stay in her class 😂😉,2
1,not a single reporter noticed that hillary's entire staff was on death's door and a doctor was following her around?,22,0.9,0,not a single reporter noticed that hillary is entire staff was on death is door and a doctor was following her around?,0,not a single reporter noticed that hillary is entire staff was on death is door and a doctor was following her around,0
2,jim schwartz has faced 2 teams as defensive coordinator. both starting qb's have left the game injured.,18,0.9411764705882353,0,jim schwartz has faced 2 teams as defensive coordinator. both starting qb is have left the game injured.,0,jim schwartz has faced 2 teams as defensive coordinator both starting qb is have left the game injured,0
3,go gettum jared!,3,1.0,0,go gettum jared!,0,go gettum jared,0
4,arsenal didn't deserve to win either so?,8,1.0,0,arsenal did not deserve to win either so?,0,arsenal did not deserve to win either so,0
5,"if you sit this election out and trump wins by a few votes, many people are going to be dealing with that reality for their entire lives.",27,0.9629629629629629,0,"if you sit this election out and trump wins by a few votes, many people are going to be dealing with that reality for their entire lives.",0,if you sit this election out and trump wins by a few votes many people are going to be dealing with that reality for their entire lives,0
6,"dinner cookie. the very second cyndi met david. , this pic means the world to me. you're the best.",19,0.8888888888888888,0,"dinner cookie. the very second cyndi met david. , this pic means the world to me. you are the best.",1,dinner cookie the very second cyndi met david this picture means the world to me you are the best,1
7,"3. yes, the romance is a total failure.",8,1.0,0,"3. yes, the romance is a total failure.",0,3 yes the romance is a total failure,0
8,"if i wanted to spend my time arguing, i'd call my mother. i come to twitter to laugh and send out random twat shots. you know, to have fun.",30,0.8275862068965517,0,"if i wanted to spend my time arguing, i would call my mother. i come to twitter to laugh and send out random twat shots. you know, to have fun.",1,if i wanted to spend my time arguing i would call my mother i come to twitter to laugh and send out random vagina shots you know to have fun,1
9,reading now. this is absolutely fantastic.,6,1.0,0,reading now. this is absolutely fantastic.,0,reading now this is absolutely fantastic,0
10,gente acabei de ver o cachecol 😂😂 nós somos fodas! wendigo all over again,13,1.0,1,gente acabei de ver o cachecol  face with tears of joy  face with tears of joy  nós somos fodas! wendigo all over again,1,gente acabei de ver Oh cachecol 😂😂 nós somos fodas wendigo all over again,2
11,classic to try and spin an innocent protest into making it seem like he was going to be assassinated.,19,0.8947368421052632,0,classic to try and spin an innocent protest into making it seem like he was going to be assassinated.,0,classic to try and spin an innocent protest into making it seem like he was going to be assassinated,0
12,‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton,15,0.9285714285714286,0,‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton,0,‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton,0
13,i would talk your mom into swallowing instead.,8,1.0,0,i would talk your mom into swallowing instead.,0,i would talk your mom into swallowing instead,0
14,i just saw this. this is a good tweet.,9,0.8888888888888888,0,i just saw this. this is a good tweet.,0,i just saw this this is a good tweet,0
15,"amazing how high emotions go once you make subscriptions visible. but paid updates aka ""hidden subscriptions"" cause old app breaks are fine.",22,1.0,0,"amazing how high emotions go once you make subscriptions visible. but paid updates aka ""hidden subscriptions"" cause old app breaks are fine.",2,amazing how high emotions go once you make subscriptions visible but paid updates also known as hidden subscriptions cause old application breaks are fine,2
16,maybe she doesn't do windows. directed her maid to print out classified materials via,15,1.0,0,maybe she does not do windows. directed her maid to print out classified materials via,0,maybe she does not do windows directed her maid to print out classified materials via,0
17,could care less about celebs i care abt the mccarthyism against ppl w/ differing opinions &amp; irresponsible blind eye to hrc's crimes,23,0.9545454545454546,0,could care less about celebs i care abt the mccarthyism against ppl w/ differing opinions & irresponsible blind eye to hrc is crimes,2,could care less about celebs i care about the mccarthyism against people w differing opinions amp irresponsible blind eye to hrc is crimes,2
18,nah you're not the jazz are not that good in my opinion either,14,0.9230769230769231,0,nah you are not the jazz are not that good in my opinion either,1,no you are not the jazz are not that good in my opinion either,1
19,i just got a press email for a bike lock kickstarter campaign. email said i am getting it because i previously wrote about fashion. 🤔,24,0.8,1,i just got a press email for a bike lock kickstarter campaign. email said i am getting it because i previously wrote about fashion.  thinking face ,0,i just got a press email for a bike lock kickstarter campaign email said i am getting it because i previously wrote about fashion 🤔,1
20,"anyone remember me tweeting before the season saying ""i just don't buy the nyr being bad this year."" desperately trying to find the tweet.",25,0.875,0,"anyone remember me tweeting before the season saying ""i just do not buy the nyr being bad this year."" desperately trying to find the tweet.",0,anyone remember me tweeting before the season saying i just do not buy the nyr being bad this year desperately trying to find the tweet,0
21,is it over yet? is it safe yet to come back on the interwebs?,14,0.7857142857142857,0,is it over yet? is it safe yet to come back on the interwebs?,0,is it over yet is it safe yet to come back on the interwebs,0
22,i'm gonna finish my essay and then go to the gym 😊,12,1.0,1,i am gonna finish my essay and then go to the gym  smiling face with smiling eyes ,1,i am going to finish my essay and then go to the gym 😊,2
23,"in this case, trump is right. the fbi investigation was rigged.no grand jury; immunity deals; fbi destroys evidence.",19,0.8888888888888888,0,"in this case, trump is right. the fbi investigation was rigged.no grand jury; immunity deals; fbi destroys evidence.",0,in this case trump is right the fbi investigation was riggedno grand jury immunity deals fbi destroys evidence,0
24,pennsylvania is focused! election day is 3 weeks away!,9,0.8888888888888888,0,pennsylvania is focused! election day is 3 weeks away!,0,pennsylvania is focused election day is 3 weeks away,0
