,Unnamed: 0,tweet,words_num,lex_div,emojis_num,demoji_text,slangs_num,deslang_text,total_slangs_emojis,deslang_demoji
0,0,when you find so you decide to stay in her class 😂😉,11,0.9166666666666666,2,when you find so you decide to stay in her class  face with tears of joy  winking face ,0,when you find so you decide to stay in her class 😂😉,2,when you find so you decide to stay in her class face with tears of joy winking face
1,1,not a single reporter noticed that hillary's entire staff was on death's door and a doctor was following her around?,22,0.9,0,not a single reporter noticed that hillary is entire staff was on death is door and a doctor was following her around?,0,not a single reporter noticed that hillary is entire staff was on death is door and a doctor was following her around,0,not a single reporter noticed that hillary is entire staff was on death is door and a doctor was following her around
2,2,jim schwartz has faced 2 teams as defensive coordinator. both starting qb's have left the game injured.,18,0.9411764705882352,0,jim schwartz has faced 2 teams as defensive coordinator. both starting qb is have left the game injured.,0,jim schwartz has faced 2 teams as defensive coordinator both starting qb is have left the game injured,0,jim schwartz has faced 2 teams as defensive coordinator both starting qb is have left the game injured
3,3,go gettum jared!,3,1.0,0,go gettum jared!,0,go gettum jared,0,go gettum jared
4,4,arsenal didn't deserve to win either so?,8,1.0,0,arsenal did not deserve to win either so?,0,arsenal did not deserve to win either so,0,arsenal did not deserve to win either so
5,5,"if you sit this election out and trump wins by a few votes, many people are going to be dealing with that reality for their entire lives.",27,0.9629629629629628,0,"if you sit this election out and trump wins by a few votes, many people are going to be dealing with that reality for their entire lives.",0,if you sit this election out and trump wins by a few votes many people are going to be dealing with that reality for their entire lives,0,if you sit this election out and trump wins by a few votes many people are going to be dealing with that reality for their entire lives
6,6,"dinner cookie. the very second cyndi met david. , this pic means the world to me. you're the best.",19,0.8888888888888888,0,"dinner cookie. the very second cyndi met david. , this pic means the world to me. you are the best.",1,dinner cookie the very second cyndi met david this picture means the world to me you are the best,1,dinner cookie the very second cyndi met david this picture means the world to me you are the best
7,7,"3. yes, the romance is a total failure.",8,1.0,0,"3. yes, the romance is a total failure.",0,3 yes the romance is a total failure,0,3 yes the romance is a total failure
8,8,"if i wanted to spend my time arguing, i'd call my mother. i come to twitter to laugh and send out random twat shots. you know, to have fun.",30,0.8275862068965517,0,"if i wanted to spend my time arguing, i would call my mother. i come to twitter to laugh and send out random twat shots. you know, to have fun.",1,if i wanted to spend my time arguing i would call my mother i come to twitter to laugh and send out random vagina shots you know to have fun,1,if i wanted to spend my time arguing i would call my mother i come to twitter to laugh and send out random vagina shots you know to have fun
9,9,reading now. this is absolutely fantastic.,6,1.0,0,reading now. this is absolutely fantastic.,0,reading now this is absolutely fantastic,0,reading now this is absolutely fantastic
